name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер коммерческого отдела,50000.0,100000.0,RUR,Щелково,2022-12-05T09:15:13+0300
Ночной помощник системного администратора в Yandex Cloud,32400.0,81000.0,RUR,Благовещенск (Амурская область),2022-12-05T09:22:46+0300
Ведущий программист САПР,100000.0,,RUR,Екатеринбург,2022-12-05T09:21:34+0300
Менеджер проекта (Прогнозирование и статистика),84000.0,,RUR,Москва,2022-12-05T10:03:20+0300
Преподаватель по программированию,100000.0,,KZT,Алматы,2022-12-05T11:45:34+0300
Аналитик (WEB-приложения),50000.0,,RUR,Воронеж,2022-12-05T09:57:19+0300
Оператор станков с программным управлением,55000.0,65000.0,RUR,Алексин,2022-12-05T11:31:26+0300
Наладчик шлифовальных станков,80000.0,,RUR,Самара,2022-12-05T07:28:57+0300
Токарь-расточник (Пермь),110000.0,,RUR,Серов,2022-12-05T09:12:11+0300
Токарь-расточник (Пермь),110000.0,,RUR,Челябинск,2022-12-05T09:12:11+0300
Токарь (Мичуринск),96000.0,,RUR,Екатеринбург,2022-12-05T09:44:52+0300
Cпециалист дежурной смены,45000.0,60000.0,RUR,Москва,2022-12-05T10:43:50+0300
Инженер в отдел организации дорожного движения,35000.0,39000.0,RUR,Новосибирск,2022-12-05T08:38:40+0300
Оператор службы технической поддержки,150000.0,170000.0,KZT,Павлодар,2022-12-05T11:55:35+0300
1С разработчик,150000.0,300000.0,RUR,Москва,2022-12-05T10:43:00+0300
Механик,100000.0,160000.0,RUR,Хабаровск,2022-12-05T05:35:26+0300
Токарь (Мичуринск),96000.0,,RUR,Уфа,2022-12-05T09:44:52+0300
Механик,40000.0,55000.0,RUR,Барнаул,2022-12-05T05:26:02+0300
Механик,40000.0,,RUR,Тамбов,2022-12-05T09:26:16+0300
Токарь на 16К20,88000.0,,RUR,Ульяновск,2022-12-05T10:07:52+0300
DevOps инженер Senior (СберЧат),300000.0,,RUR,Москва,2022-12-05T11:34:01+0300
Инженер-программист 1С,50000.0,,RUR,Миасс,2022-12-05T06:43:16+0300
Программист 1С,200000.0,,RUR,Томск,2022-12-05T05:40:03+0300
Системный администратор (районная больница на Камчатке),90000.0,90000.0,RUR,Саянск,2022-12-05T10:37:36+0300
